Timestamp,FileName,ProcessType,Parameter
2026-04-02 13:11:39,창업캠프1.png,load,-
2026-04-02 13:11:40,창업캠프1.png,blur,1
2026-04-02 13:11:40,창업캠프1.png,blur,5
2026-04-02 13:11:40,창업캠프1.png,blur,8
2026-04-02 13:11:40,창업캠프1.png,blur,11
2026-04-02 13:11:40,창업캠프1.png,blur,13
2026-04-02 13:11:40,창업캠프1.png,blur,15
2026-04-02 13:11:40,창업캠프1.png,blur,16
2026-04-02 13:11:41,창업캠프1.png,blur,15
2026-04-02 13:11:41,창업캠프1.png,blur,12
2026-04-02 13:11:41,창업캠프1.png,blur,7
2026-04-02 13:11:41,창업캠프1.png,blur,4
2026-04-02 13:11:41,창업캠프1.png,blur,3
2026-04-02 13:11:41,창업캠프1.png,blur,2
2026-04-02 13:11:41,창업캠프1.png,blur,3
2026-04-02 13:11:41,창업캠프1.png,blur,4
2026-04-02 13:11:41,창업캠프1.png,blur,6
2026-04-02 13:11:41,창업캠프1.png,blur,11
2026-04-02 13:11:41,창업캠프1.png,blur,18
2026-04-02 13:11:41,창업캠프1.png,blur,20
2026-04-02 13:11:41,창업캠프1.png,blur,19
2026-04-02 13:11:41,창업캠프1.png,blur,11
2026-04-02 13:11:41,창업캠프1.png,blur,5
2026-04-02 13:11:41,창업캠프1.png,blur,1
2026-04-02 13:11:41,창업캠프1.png,blur,0
2026-04-02 13:11:41,창업캠프1.png,blur,1
2026-04-02 13:11:41,창업캠프1.png,blur,6
2026-04-02 13:11:42,창업캠프1.png,blur,13
2026-04-02 13:11:42,창업캠프1.png,blur,20
2026-04-02 13:11:44,창업캠프1.png,color_filter,green
2026-04-02 13:11:47,창업캠프1.png,color_filter,blue
2026-04-02 13:11:49,창업캠프1.png,color_filter,red
2026-04-02 13:11:51,창업캠프1.png,blur,0
2026-04-02 13:11:51,창업캠프1.png,reset,-
2026-04-02 13:11:52,창업캠프1.png,canny_edge,100/200
2026-04-02 13:11:52,창업캠프1.png,canny_edge,100/200
2026-04-02 13:11:53,창업캠프1.png,canny_edge,100/200
2026-04-02 13:11:54,창업캠프1.png,reset,-
